STT	Tiếng Trung	Pinyin	Từ loại	Dịch nghĩa
173	见	jiàn	động từ	gặp, thấy
174	见面	jiàn//miàn		gặp mặt
175	教	jiāo	động từ	dạy
176	叫	jiào	động từ	kêu, gọi
177	教学楼	jiàoxuilóu	danh từ	toà nhà giảng dạy
178	姐姐｜姐	jiijie｜ jii	danh từ	chị gái
179	介绍	jiishào	động từ	giới thiệu, đề xuất
180	今年	jīnnián	danh từ	năm nay
181	今天	jīntiān	danh từ	hôm nay
182	进	jìn	động từ	vào
183	进来	jìn//· lái		vào, đi vào
184	进去	jìn//· qù		vào trong, đi vào, hướng vào trong
185	九	jiǔ	số từ	số 9
186	就	jiù	phó từ	thì, liền, cứ, ngay, đã, rồi, chính là, chỉ, tận
187	觉得	juide	động từ	cảm thấy, nghĩ, cho rằng
188	开	kāi	động từ	mở, bật
189	开车	kāi//chi		lái xe
190	开会	kāi//huì		họp
191	开玩笑	kāi wánxiào		chọc, trêu, đùa, giỡn, giễu, nói đùa
192	看	kàn	động từ	xem, nhìn
193	看病	kàn//bìng		khám bệnh
194	看到	kàndào		nhìn thấy
195	看见	kàn//jiàn		trông thấy
196	考	kǎo	động từ	thi, kiểm tra
197	考试	kǎo//shì		kỳ thi
198	渴	ki	tính từ	khát
199	课	ki	danh từ	môn học, tiết học
200	课本	kibin	danh từ	sách, sách vở, sách giáo khoa
201	课文	kiwin	danh từ	bài khóa, bài văn
202	口	kǒu	lượng từ / danh từ	"miếng, ngụm, hơi / người, thành viên trong
gia đình / miệng / lưỡi (dao, kiếm, kéo) / bộ phận"
203	块	kuài	danh từ / lượng từ	viên, hòn, cục, tảng, thỏi, miếng / viên, bánh, đống, khối, miếng, đồng (tiền)
204	快	kuài	tính từ / phó từ	nhanh, mau, chóng / sắp, gần, mau
205	来	lái	động từ	đến, tới
206	来到	láidào	động từ	đến, đạt được, đạt đến
207	老	lǎo	tính từ	già
208	老人	lǎorin	danh từ	người già
209	老师	lǎoshī	danh từ	giáo viên
210	了	le	trợ từ	đã, rồi
211	累	lii	tính từ	mệt
212	冷	ling	tính từ	lạnh
213	里	lǐ	danh từ	bên trong, phía trong
214	里边	lǐbian	danh từ	trong, bên trong, phía trong
215	两	liǎng	số từ	hai (chỉ số lượng)
216	零|〇	líng|líng	số từ	số 0
217	六	liù	số từ	số 6
218	楼	lóu	danh từ	tòa nhà, lầu
219	楼上	lóu shàng		tầng trên, lầu trên
220	楼下	lóu xià		tầng dưới, lầu dưới
221	路	lù	danh từ / lượng từ	đường, tuyến đường / loại / hàng, đội
222	路口	lùkǒu	danh từ	ngã, giao lộ, nút giao
223	路上	lùshang	danh từ	trên đường, dọc đường
224	妈妈|妈	māma|mā	danh từ	mẹ
225	马路	mǎlù	danh từ	đường cái, đường quốc lộ
226	马上	mǎshàng	phó từ	ngay lập tức
227	吗	ma	trợ từ	không, ư, à
228	买	mǎi	động từ	mua
229	慢	màn	tính từ	chậm
230	忙	máng	tính từ	bận
231	毛	máo	lượng từ	hào (tiền)
232	没	mii	phó từ / động từ	"chưa, chưa từng / không, không có /
không bằng / không tới"
233	没关系	mii guānxi		không sao, đừng ngại, không có gì
234	没什么	mii shinme		không sao, không việc gì, không hề gì
235	没事儿	mii//shìr		không sao
236	没有	mii·yǒu	động từ / phó từ	"không, không có /
không bằng / không đủ / đều không / chưa, chưa từng"
237	妹妹|妹	miimei|mii	danh từ	em gái
238	门	min	danh từ / lượng từ	cửa, cánh cửa / môn học
239	门口	minkǒu	danh từ	cửa, cổng
240	门票	minpiào	danh từ	vé vào cửa
241	"们
(朋友们)"	"men
(pingyoumen)"	hậu tố	chúng, các, bọn (các bạn, chúng bạn)
242	米饭	mǐfàn	danh từ	cơm
243	面包	miànbāo	danh từ	bánh mì
244	面条儿	miàntiáor	danh từ	mì sợi
245	名字	míngzi	danh từ	tên
246	明白	míngbai	tính từ / động từ	rõ ràng, công khai, hiểu biết / biết, hiểu
247	明年	míngnián	danh từ	năm sau
248	明天	míngtiān	danh từ	ngày mai
249	拿	ná	động từ	cầm, đưa, lấy, nắm
250	哪	nǎ	đại từ	nào, đâu, gì
251	哪里	nǎ·lǐ	đại từ	đâu, ở đâu, chỗ nào, đâu có
252	哪儿	nǎr	đại từ	đâu, chỗ nào
253	哪些	nǎxii	đại từ	cái nào, người nào, những cái nào
254	那	nà	đại từ	kia, đó
255	那边	nàbiān	đại từ	bên đó
256	那里	nà·lǐ	đại từ	ở đó
257	那儿	nàr	đại từ	ở kia
258	那些	nàxii	đại từ	những... ấy, những... đó, những... kia
259	奶	nǎi	danh từ	sữa
260	奶奶	nǎinai	danh từ	bà nội
261	男	nán	tính từ	nam, con trai
262	男孩儿	nánháir	danh từ	bé trai
263	男朋友	nánpingyou	danh từ	bạn trai
264	男人	nánrin	danh từ	đàn ông
265	男生	nánshing	danh từ	học sinh nam
266	南	nán	danh từ	hướng nam
267	南边	nánbian	danh từ	phía nam
268	难	nán	tính từ	khó
269	呢	ne	trợ từ	thế, nhỉ, vậy, đâu
270	能	ning	động từ	có thể
271	你	nǐ	đại từ	bạn
272	你们	nǐmen	đại từ	các bạn
273	年	nián	lượng từ	năm
274	您	nín	đại từ	ngài, bạn (lịch sự)
275	牛奶	niúnǎi	danh từ	sữa bò
276	女	nǚ	tính từ	nữ, con gái
277	女儿	nǚ’ir	danh từ	con gái
278	女孩儿	nǚháir	danh từ	bé gái
279	女朋友	nǚpingyou	danh từ	bạn gái
280	女人	nǚrin	danh từ	phụ nữ
281	女生	nǚshing	danh từ	nữ sinh, cô gái
282	旁边	pángbiān	danh từ	bên cạnh
283	跑	pǎo	động từ	chạy
284	朋友	pingyou	danh từ	bạn bè
285	票	piào	danh từ	vé, phiếu, thẻ, hoá đơn
286	七	qī	số từ	số 7
287	起	qǐ	động từ	dậy, xê, rời khỏi, cất cánh, hất lên, nổi
288	起床	qǐ//chuáng		thức dậy
289	起来	qǐ//· lái		ngồi dậy, đứng dậy, ngủ dậy
290	汽车	qìchi	danh từ	xe ô tô
291	前	qián	danh từ	phía trước
292	前边	qiánbian	danh từ	phía trước, đằng trước
293	前天	qiántiān	danh từ	hôm kia
294	钱	qián	danh từ	tiền
